,0
1965,a man and woman are standing in front of a building 
312,a woman holding a frisbee in front of a crowd 
6068,a man and a woman are posing for a picture 
15037,a man and woman are posing for a picture 
50043,a woman and a man are looking at a picture 
37636,a woman laying on a bed with a picture of a man 
17044,a collage of photos of people in a field 
60951,a young man sitting on a surfboard in the water 
21334,a man flying a kite in the sky 
416437,"a sign that says ""don't miss"" "
32284,a woman with a picture of a man on her face 
51955,a man and a woman posing for a picture 
37410,a man is reading a book in the street 
47481,a man and woman are reading a book 
53765,a man with a tattoo on his face 
10674,a man in a black shirt and a woman in a red shirt 
136134,a man with a black shirt and a black tie 
846,a man and a woman are standing in front of a picture 
12655,a man in a suit and a woman in a dress 
3050,a man is sitting on the floor with a dog 
1389,a man holding a red fire hydrant 
11020,a woman is posing for a picture with a sign 
20862,a woman and a man posing for a picture 
108548,a man with a hat and a picture of a cow 
9464,a woman is sitting next to a man 
95,a man holding a book with a picture of a man with a gun 
944,a man in a suit and tie holding a camera 
35680,a woman and a dog on a motorcycle 
11551,a man holding a cartoon character with a cartoon face 
473,a chair with a black seat cover 
102304,a woman is holding a magazine in her hand 
544,a woman is posing for a picture with a dog 
10513,a painting of a woman holding a sign 
28966,"a poster of a man with a sign that reads ""the american flag"" "
65203,a painting of a man holding a sign 
143,a man wearing a hat and a hat 
42861,a painting of a man holding a bottle of wine 
33680,a man is holding a sign with a picture of a woman 
56164,"a sign that says ""don't drink"" "
12311,a man in a suit and hat is reading a book 
43277,"a woman is holding a sign that says ""love"" "
43278,a cartoon character with a face painted on his face 
34106,a man in a suit and tie is reading a book 
43266,a man and a woman are reading a book 
27367,a man and woman are posing for a picture 
17661,a man in a suit and tie with a picture of a man in a hat 
28580,a close up of a picture of a person with a knife 
887,"a sign that says ""don't eat the same"" "
33667,a man in a suit is holding a sign 
23383,a man holding a stuffed animal in front of his face 
25430,a man standing next to a statue of a man 
27191,a crowd of people standing around a sign 
11426,a man and a woman are laying on the beach 
654,a man standing on a boat with a sign 
15919,a man in a suit and tie talking on a cell phone 
1725,a blue and white sign with a picture of a man on it 
5769,a cartoon of a man holding a book 
874,"a statue of a bear with a sign that reads ""the bear is dead"" "
10633,a painting of a man sitting on a bench with a picture of a woman 
17917,a woman in a suit and hat talking on a cell phone 
3116,a man in a suit and tie is looking at a cell phone 
1051,a man walking across a desert with a truck 
1366,a man standing on top of a pile of rocks 
12102,a man and a woman are reading a book 
16619,a painting of a couple of women in a wedding dress 
9443,a man in a suit and tie holding a soccer ball 
11050,a woman and a man are standing in front of a picture 
606,two women sitting on a grassy field with a sign 
746,a woman wearing a pirate hat and holding a sword 
380,a man walking down the street with a suitcase 
403,a man is posing for a picture with a sign 
11485,a man with a cat on his head 
466,a collage of photos of people with different colors 
13820,a woman is standing in the street with a sign 
15389,a family photo of a man and a woman 
13597,a painting of a woman holding a stuffed animal 
2108,a large group of people sitting on a couch 
10014,a woman and a man are sitting in a room 
10072,a painting of a man with a hat on 
10131,a painting of a man with a fire hydrant 
10160,a blurry photo of a man holding a surfboard 
11284,a man is in the air with a skateboard 
4488,"a sign that says ""no smoking"" "
9725,a neon sign with a man in a suit 
9728,a man with a mask and a bunch of skulls 
9730,a cake with a cartoon character on it 
9731,a painting of a man holding a dog 
10225,a dog laying in a bag with a picture of a cat 
10281,a painting of a man holding a toy dog 
10283,a drawing of a cartoon character with a sign 
948,a painting of a man holding a red umbrella 
11281,a cartoon character with a bear face on 
10676,a man and woman are standing in front of a painting 
11357,a man with a mask on 
11361,a woman in a black and white photo with a cartoon character 
36599,a man with a mask on holding a fake animal 
39929,a woman in a hat is reading a newspaper 
41828,a man and a woman are on a motorcycle 
41769,a woman holding a knife and a picture of a man 
10585,a young girl wearing a mask and holding a toothbrush 
11186,a person with a mask on 
11187,a woman with a face painted like a dog 
609,a girl is playing a video game on the tv 
11133,a man is talking on a cell phone while sitting on a bed 
10306,a girl in a red dress is playing a video game 
9552,a person walking down a street with an umbrella 
11586,a woman with a red face is reading a book 
11587,a blurry photo of a train on a train track 
941,a man in a suit and tie holding a gun 
942,a man holding a black and white photo of a man with a gun 
943,a man in a suit and tie holding a cell phone 
927,a man holding a remote control in his hand 
928,"a sign that says ""the best place to eat"" "
9340,a man riding a skateboard on top of a pile of rocks 
9342,a man in a black and white photo with a horse 
38509,a woman in a dress sitting in front of a flower pot 
60033,a collage of photos of a man with a cat on his head 
12101,a poster of a man in a suit and tie 
19,a painting of a man with a tattoo on his face 
165,a man in a costume standing next to a statue of a man 
196,a man and woman are standing next to a car 
551,a painting of a man in a suit and a woman in a bikini 
16084,a cartoon character with a hat and a sign 
17984,a motorcycle with a cartoon character on it 
22328,a man in a hat and a woman in a hat 
32611,a poster of a girl on a board 
3170,a painting of a cartoon character with a frog 
346,a blurry photo of a street sign with a cat on it 
859,a woman is holding a book with a picture of a man 
841,a blurry photo of a car with a rainbow background 
11051,"a sign that says ""no parking"" on it "
242,a man with a tie and a shirt 
1411,a woman is lying on the ground with a man 
9769,a woman laying on a beach with a surfboard 
9424,a collage of photos of a man and woman 
9835,a man and a woman posing for a picture 
857,a man in a hat and a flag 
17539,a woman standing next to a man on a sign 
44322,a man is holding a book in front of a zebra 
22777,a sign for a krispy kreme contest 
20173,a man holding a book with a picture of a girl 
10957,a painting of a man with a hat on a table 
9570,a blurry image of a toy airplane with a person in the middle 
16249,a motorcycle with a picture of a man riding it 
13962,a person with a backpack and a backpack bag 
14612,a man and woman posing for a picture 
19378,a collage of photos of a man and a woman 
65157,a woman holding a cat in front of a cartoon 
29228,a woman in a red dress with a red bow 
19379,a woman holding a sign with a cartoon character 
11164,a man holding a skateboard and a sign 
18887,a collage of photos of people and animals 
40866,a man reading a book with a picture of a bear on it 
24736,a herd of elephants standing next to each other 
10122,a man sitting on a chair in a room 
24816,a painting of a woman holding a book 
9994,a stuffed animal with a cartoon character on it 
25445,a painting of a woman holding a sign 
12129,a doll with a bunch of bananas on it 
14140,a man riding a skateboard down a wall 
10439,a woman holding a sign with a picture of a man 
11158,a man sitting on a bed with a poster of a man on a skateboard 
9354,a man with a dog on his lap 
28736,a painting of a man with a hat on his head 
34774,a woman is holding a book in front of a group of people 
37969,a painting of a horse and a cartoon character 
9631,a man holding a red and white sign 
9820,a woman and a man are posing for a picture 
14013,a photo of a group of people posing for a picture 
36606,a painting of a cat on a motorcycle 
96196,a woman with a sign on her head 
98505,a man and woman are posing for a picture 
1779,a man in a suit talking on a cell phone 
10849,a man standing in front of a sign with a cartoon character 
678,a painting of a man and a woman 
907,a woman in a hat and a man in a hat 
5961,a man and woman standing next to each other 
47908,a woman and a man are holding a hat 
42121,a man in a hat and sunglasses holding a bottle 
2887,a collage of photos of people with a sign 
11974,a man in a suit holding a surfboard 
20348,a painting of a group of animals on a rock 
26648,a woman wearing a red and white dress and a red and white hat 
11911,a man in a red jacket holding a red and white flag 
793,a woman is laying on a bed with a red blanket 
35144,a man and a woman with a dog 
9325,a painting of a man and a bear on a tree 
43037,a man is holding a book with a cartoon character 
10340,a collage of a dog and a cartoon character 
10144,a man and a woman are sitting on a wall 
10414,a man in a suit and tie standing next to a sign 
10437,a man with a snowboard in the snow 
15300,a painting of a man on a skateboard 
12230,a sign with a bear and a dog on it 
13380,a magazine cover with a quote from a man 
10693,a painting of a cartoon character with a bear on it 
11335,a man holding a sign with a cartoon character 
11135,a painting of a cartoon character with a bird on his head 
11319,a painting of a cartoon character on a surfboard 
14822,a painting of a woman in a costume 
15969,a cartoon character with a bear on a sign 
13155,a painting of a bird on a table 
10249,a man holding a bottle of wine and a picture of a man with a mustache 
15943,a dog with a cartoon face on it 
10882,a display of a cartoon character with a pink umbrella 
24808,a painting of a man in a costume 
19762,a painting of a man holding a cartoon frog 
13850,a cartoon character with a red hat and a sign 
2619,a man and woman posing for a picture 
65158,a man with a beard and a picture of a bear 
53565,a painting of a man with a mustache 
41841,a man holding a sign with a picture of a horse 
27332,a man in a hat and sunglasses posing for a picture 
97,a man in a baseball uniform is holding a baseball bat 
10419,a man holding a sign with a bunch of people 
11675,a man with a beard and a picture of a woman 
2107,a sunset photo of a beach with a sign 
6471,a man holding a sign with a cartoon character 
