,0
30910,"a man with a sign that says ""don't drink"" "
41282,a man and a woman posing for a picture 
12211,a painting of a man holding a sword 
137236,a man in a hat and sunglasses is talking on a cell phone 
9995,a man with a gun in his hand 
1698,a blurry photo of a person holding a red and white object 
10480,a man and a woman are holding a book 
80713,a woman with a picture of a fish on her face 
10685,a man holding a black and white photo of a person 
1619,a poster of a man with a sign 
786,a woman with glasses and a red scarf 
14805,a room with a bunch of screens on the wall 
51179,a woman in a dress and a man in a suit 
46119,a man and a woman are looking at a picture 
18074,a collage of photos of a cat wearing a tie 
170767,a man is reading a book on a street 
77332,a man with a beard is holding a cell phone 
27665,a man is standing in front of a wall with a picture of a woman 
29015,a man and a boy are posing for a picture 
10562,a man in a suit and tie with a woman 
201724,a man and a woman are standing next to each other 
12212,a man sitting in front of a wall with a bunch of pictures on it 
14629,a woman with a red bow is holding a picture of herself 
16,a woman is looking at a picture of a man 
13785,a crowd of people standing around a christmas tree 
34299,a woman in a bikini holding a skateboard 
15752,a collage of photos of people in a store 
22597,a crowd of people standing around a magazine 
19348,a woman holding a baseball bat in front of a large building 
10637,a man with a black and white photo of him 
9003,a painting of a man in a suit 
9064,a painting of a man with a gun in his hand 
11569,a painting of a man with a gun in his mouth 
10434,a painting of a man with a bird on his head 
26484,a woman is reading a magazine while sitting on a surfboard 
39113,a woman is sitting on a billboard with a surfboard 
38126,a man with a mask on holding a fake toothbrush 
53617,a girl is jumping on a sign with a cartoon character 
469,"a man standing next to a sign that reads ""don't drink the nintendo wii."" "
2160,a painting of a man with a surfboard 
2161,a man is jumping in the air on a skateboard 
3073,a man with a hat and a picture of a man 
911,a cartoon of a cartoon character with a sign 
10973,a woman is holding a magazine with a cartoon character 
34077,a cartoon character is on a sign 
10787,"a man with a sign that says ""war"" "
43109,a cartoon of a frog in a newspaper 
43230,a painting of a dog on a sign 
15855,a cartoon character with a cartoon face on a magazine 
9507,a man and woman standing next to each other 
27475,a woman and a man are posing for a picture 
27764,a woman in a bikini and a man in a suit 
27767,a woman is posing for a picture with a surfboard 
40760,a woman holding a knife in front of a painting 
40446,a woman is sitting on a bed with a picture of a man 
24664,a cartoon character with a hat and a dog 
21370,a man with a skateboard is holding a surfboard 
20455,a cartoon character with a clock on top of it 
10461,a man in a suit and tie holding a sign 
1485,a man holding a baseball bat 
1597,a man and a woman sitting at a table with a book 
641,a man standing on a beach with a sign 
10687,a man in a uniform holding a gun 
63956,a man and woman are kissing in front of a christmas tree 
6521,a clock with a picture of a person on it 
10763,a man in a suit and tie standing next to a woman 
100975,a man with a camera on his head 
16888,a man wearing a hat and holding a bottle 
10383,a man and a woman are looking at a picture 
21142,a man with a hat and a sign 
78140,a man in a hat and a sign 
2134,a painting of a man and a woman with a book 
18801,a woman with a picture of a man on her wall 
18498,a stuffed animal in a toilet bowl with a picture of a dog on it 
28605,a man is holding a toilet with a sign on it 
42797,a woman in a bikini jumping in the air 
13465,a cartoon character is holding a book 
27033,a woman and a man are posing for a picture 
20367,a painting of a woman with a cartoon character on her arm 
71,a man jumping in the air with a skateboard 
1636,a man and woman are posing for a picture 
10647,a woman and a man are posing for a picture 
19204,a woman with a knife and a picture of a dog 
13762,a man in a black suit and a man in a white suit and a man in a black suit 
12207,a man reading a newspaper while sitting on a bed 
11531,a blurry photo of a tree with a few graffiti 
24100,a boy and a girl dressed up as a clown 
10783,a man and woman wearing sunglasses and a red hat 
47302,a woman with a tattoo on her face 
4327,a painting of a man with a red and white fire hydrant 
4958,a man and a woman posing for a picture 
9678,a woman sitting on a bench with a dog 
11978,a man in a suit and tie is looking at a painting 
8870,a man and woman are looking at a cake 
77434,a woman holding a sign with a stuffed animal 
14295,a woman is reading a book while holding a bag 
681,a man and woman standing next to each other 
11372,a man in a suit and tie with a flag 
8452,a man with a camera in his mouth 
10862,a man and a woman are smiling for the camera 
8871,a cartoon character is on a billboard 
34045,a pair of scissors on a sign 
16340,a doll of a bear and a cartoon character 
10481,a dog with a sign on it 
10867,a woman in a bikini posing for a picture 
10876,a woman is holding a knife and a man is holding a phone 
9741,a man holding a camera in his right hand 
79920,a man is lying on a bed with a magazine 
146,a man and woman posing for a picture 
11849,a collage of photos of people with their faces painted on 
11983,a man in a black and white photo with a black and white photo 
11678,a person on a surfboard in the water 
2669,a man with a picture of a man on a train 
20721,a man holding a gun in front of a painting 
2609,two men are posing for a picture together 
12714,a woman and a man are looking at a picture 
92603,a young boy holding a knife in his mouth 
708,a woman in a dress is holding a microphone 
1857,a neon sign with a bunch of neon lights 
10673,a man holding a cell phone next to a picture of a man in a suit 
2604,a man with a beard and a sign 
10132,a man with a beard and a sign 
11064,a man laying on the ground with a poster of a man 
107,a man is holding a sign with a group of people 
40820,a woman in a black shirt and a man in a white shirt 
37716,a man holding a cup next to a woman 
392,a man and woman are posing for a picture 
8859,"a man is holding a sign that says ""don't eat the dog"" "
11688,a painting of a woman in a dress holding a stuffed animal 
12509,a man is painting a mural on a wall 
3981,a man and woman are smiling for the camera 
711,a man with a beard and a picture of a horse 
2046,a woman is looking at a picture of a man 
5001,a man with a beard is reading a book 
8358,a man with a beard and a tie 
5994,a man and woman standing next to each other 
25520,a woman in a dress standing next to a bed 
1493,a woman in a bikini holding a pink flower 
25660,a man riding a surfboard on top of a wave 
134,two men are posing for a picture with a sign 
62677,a man and woman are posing for a picture 
21991,a street sign with a cartoon character on it 
10577,a man and woman are talking in a room 
21355,a man and a woman are standing next to each other 
29122,a cartoon character with a fish in the sky 
11973,a man and a woman are standing in front of a picture 
1900,a collage of photos of a woman and a man 
44853,a collage of photos of a man and a woman 
10873,a woman with a red face standing in front of a wall 
26719,a painting of a man holding a flag 
31583,a woman with a picture of a man on her phone 
15739,a woman in a dress and a dog 
15413,a woman standing next to a man on a lawn 
2623,a woman sitting on a motorcycle with a man on it 
11209,a man is performing a trick on a stage 
13715,a painting of a man and woman 
19108,a man holding a video game controller 
8043,a woman laying on a pile of luggage 
43258,a man and a woman posing for a picture 
10655,a man in a hat and a cowboy hat 
75490,a man and a woman are posing for a picture 
42261,a man and woman posing for a picture 
34794,a painting of a house with a tree 
9989,a collage of photos of a man and woman 
18828,a man and a woman dressed in a costume 
9816,a man in a black shirt and a woman in a white dress 
20637,a man in a suit and tie is looking at a screen 
5955,a man with a tattoo on his face 
125498,a man and a woman holding a stuffed animal 
77825,a woman with a face painted with a picture of a cat 
220976,a man and woman are posing for a picture 
66599,a woman with a red hair and a blue shirt 
17474,a woman is reading a book while a man is sitting on a bed 
11191,a woman is smiling while holding a sign 
2613,a woman and a man are kissing 
22021,a woman holding a stuffed animal in front of a picture of a man 
22048,a woman is painting a bunch of colorful kites 
17006,a poster of a man and a woman on a skateboard 
26333,a woman and a man posing for a picture 
16723,a woman holding a sign with a cartoon character 
2018,a man and woman are posing for a picture 
31768,a woman with a cat on her shoulder 
47595,a woman sitting on a bed with a book 
18856,a man and a woman posing for a picture 
10499,a man with a sign on his head 
37949,a painting of a painting of a plant with a bird on it 
83500,a woman and a man posing for a picture 
47943,a woman in a bikini standing in front of a white wall 
74340,a man riding a skateboard up the side of a building 
5709,a man with a cartoon face on his head 
11215,a woman and a man posing for a picture 
26477,a collage of photos of a girl holding a pink and white kitty 
10937,a man and woman are talking on a cell phone 
4639,a man in a suit and tie is reading a book 
96,a man in a suit and tie standing on a beach 
90,a man holding a cell phone in front of a picture of a man holding a fish 
11028,a woman and a man are sitting on a bed 
57240,a man and a woman are standing in a car 
67307,a man and woman are posing for a picture 
19324,a man sitting on a bench with a sign 
19933,a cartoon character with a cartoon character on a cartoon character 
12919,a man and woman are posing for a picture 
15785,a woman in a red dress holding a red guitar 
31701,a man holding a camera and a picture of a man with a gun 
31563,a man holding a sign with a cartoon character 
12506,"a sign that says ""no parking"" on it "
89992,a woman and a boy are posing for a picture 
70199,a sign with a picture of a person on it 
39507,a woman in a black dress and a man in a black dress 
62185,a man holding a gun and a video game 
24826,a man riding a bike with a cartoon character on it 
30994,a man and a woman are looking at a picture 
17159,"a man with a sign that says ""don't drink"" "
10110,a painting of a fire hydrant with a picture of a person holding a cigarette 
18935,a man is holding a skateboard and a cartoon character 
764,a man is laying on the ground with a magazine 
20287,a painting of a man holding a book 
26964,a person holding a cell phone 
71881,a woman in a suit and tie standing in front of a sign 
15658,a man and woman are standing in front of a sign 
4918,a collage of photos of a man and a woman 
28368,a man standing in front of a truck with a sign 
58084,a woman is reading a book in front of a billboard 
52780,a person is sitting on a wall with a picture of a dog 
48149,a painting of a cow with a sign on it 
26156,a man reading a book in front of a large advertisement 
34101,a man is posing for a picture with a woman 
32054,a man in a suit and tie standing in front of a sign 
14464,a woman with a tattoo on her arm 
65501,a woman sitting on a chair in front of a tv 
32227,a man holding a tennis racquet on top of a stage 
2614,a man with a teddy bear and a cartoon character 
40962,a hat with a picture of a cow on it 
12704,a man is walking with a horse in the desert 
580,a man is flying through the air while holding a surfboard 
24828,a man holding a baseball bat in front of a sign 
13703,"a man standing next to a sign with a sign saying ""stop"" "
